,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
62,0,398.0,1.84mW,2026B,"""vadere_Sample__62_0""",true,65722447231342458,True,[0.995],[0.995],[0.995],[0.995]
63,0,398.0,1.3mW,2026B,"""vadere_Sample__63_0""",true,65722447231342458,True,[0.995],[0.995],[0.995],[0.995]
64,0,42.0,0.57mW,952B,"""vadere_Sample__64_0""",true,65722447231342458,True,[0.105],[0.105],[0.105],[0.105]
65,0,307.0,0.57mW,952B,"""vadere_Sample__65_0""",true,65722447231342458,True,[0.7675000000000001],[0.7675000000000001],[0.7675000000000001],[0.7675000000000001]
66,0,42.0,0.57mW,3120B,"""vadere_Sample__66_0""",true,65722447231342458,True,[0.105],[0.105],[0.105],[0.105]
67,0,42.0,0.88mW,952B,"""vadere_Sample__67_0""",true,65722447231342458,True,[0.105],[0.105],[0.105],[0.105]
68,0,42.0,0.88mW,3120B,"""vadere_Sample__68_0""",true,65722447231342458,True,[0.105],[0.105],[0.105],[0.105]
69,0,307.0,0.88mW,952B,"""vadere_Sample__69_0""",true,65722447231342458,True,[0.7675000000000001],[0.7675000000000001],[0.7675000000000001],[0.7675000000000001]
70,0,307.0,0.57mW,3120B,"""vadere_Sample__70_0""",true,65722447231342458,True,[0.7675000000000001],[0.7675000000000001],[0.7675000000000001],[0.7675000000000001]
71,0,307.0,0.88mW,3120B,"""vadere_Sample__71_0""",true,65722447231342458,True,[0.7675000000000001],[0.7675000000000001],[0.7675000000000001],[0.7675000000000001]
72,0,411.0,1.32mW,3452B,"""vadere_Sample__72_0""",true,65722447231342458,True,[1.0275],[1.0275],[1.0275],[1.0275]
73,0,1414.0,1.32mW,3452B,"""vadere_Sample__73_0""",true,65722447231342458,True,[3.535],[3.535],[3.535],[3.535]
74,0,411.0,1.32mW,620B,"""vadere_Sample__74_0""",true,65722447231342458,True,[1.0275],[1.0275],[1.0275],[1.0275]
75,0,411.0,1.63mW,3452B,"""vadere_Sample__75_0""",true,65722447231342458,True,[1.0275],[1.0275],[1.0275],[1.0275]
76,0,411.0,1.63mW,620B,"""vadere_Sample__76_0""",true,65722447231342458,True,[1.0275],[1.0275],[1.0275],[1.0275]
77,0,1414.0,1.63mW,3452B,"""vadere_Sample__77_0""",true,65722447231342458,True,[3.535],[3.535],[3.535],[3.535]
78,0,1414.0,1.32mW,620B,"""vadere_Sample__78_0""",true,65722447231342458,True,[3.535],[3.535],[3.535],[3.535]
79,0,1414.0,1.63mW,620B,"""vadere_Sample__79_0""",true,65722447231342458,True,[3.535],[3.535],[3.535],[3.535]
80,0,807.0,0.95mW,2202B,"""vadere_Sample__80_0""",true,65722447231342458,True,[2.0175],[2.0175],[2.0175],[2.0175]
81,0,124.0,0.95mW,2202B,"""vadere_Sample__81_0""",true,65722447231342458,True,[0.31],[0.31],[0.31],[0.31]
82,0,807.0,0.95mW,1870B,"""vadere_Sample__82_0""",true,65722447231342458,True,[2.0175],[2.0175],[2.0175],[2.0175]
