,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
935,0,421.0,0.7mW,2824B,"""vadere_Sample__935_0""",true,65722447231342458,True,[1.0525],[1.0525],[1.0525],[1.0525]
936,0,790.0,0.55mW,4030B,"""vadere_Sample__936_0""",true,65722447231342458,True,[1.975],[1.975],[1.975],[1.975]
937,0,47.0,0.55mW,4030B,"""vadere_Sample__937_0""",true,65722447231342458,True,[0.11750000000000001],[0.11750000000000001],[0.11750000000000001],[0.11750000000000001]
938,0,790.0,0.55mW,324B,"""vadere_Sample__938_0""",true,65722447231342458,True,[1.975],[1.975],[1.975],[1.975]
939,0,790.0,1.45mW,4030B,"""vadere_Sample__939_0""",true,65722447231342458,True,[1.975],[1.975],[1.975],[1.975]
940,0,790.0,1.45mW,324B,"""vadere_Sample__940_0""",true,65722447231342458,True,[1.975],[1.975],[1.975],[1.975]
941,0,47.0,1.45mW,4030B,"""vadere_Sample__941_0""",true,65722447231342458,True,[0.11750000000000001],[0.11750000000000001],[0.11750000000000001],[0.11750000000000001]
942,0,47.0,0.55mW,324B,"""vadere_Sample__942_0""",true,65722447231342458,True,[0.11750000000000001],[0.11750000000000001],[0.11750000000000001],[0.11750000000000001]
943,0,47.0,1.45mW,324B,"""vadere_Sample__943_0""",true,65722447231342458,True,[0.11750000000000001],[0.11750000000000001],[0.11750000000000001],[0.11750000000000001]
944,0,403.0,1.68mW,280B,"""vadere_Sample__944_0""",true,65722447231342458,True,[1.0075],[1.0075],[1.0075],[1.0075]
945,0,830.0,1.68mW,280B,"""vadere_Sample__945_0""",true,65722447231342458,True,[2.075],[2.075],[2.075],[2.075]
946,0,403.0,1.68mW,1574B,"""vadere_Sample__946_0""",true,65722447231342458,True,[1.0075],[1.0075],[1.0075],[1.0075]
947,0,403.0,1.82mW,280B,"""vadere_Sample__947_0""",true,65722447231342458,True,[1.0075],[1.0075],[1.0075],[1.0075]
948,0,403.0,1.82mW,1574B,"""vadere_Sample__948_0""",true,65722447231342458,True,[1.0075],[1.0075],[1.0075],[1.0075]
949,0,830.0,1.82mW,280B,"""vadere_Sample__949_0""",true,65722447231342458,True,[2.075],[2.075],[2.075],[2.075]
950,0,830.0,1.68mW,1574B,"""vadere_Sample__950_0""",true,65722447231342458,True,[2.075],[2.075],[2.075],[2.075]
951,0,830.0,1.82mW,1574B,"""vadere_Sample__951_0""",true,65722447231342458,True,[2.075],[2.075],[2.075],[2.075]
952,0,38.0,0.93mW,2780B,"""vadere_Sample__952_0""",true,65722447231342458,True,[0.095],[0.095],[0.095],[0.095]
953,0,200.0,0.93mW,2780B,"""vadere_Sample__953_0""",true,65722447231342458,True,[0.5],[0.5],[0.5],[0.5]
954,0,38.0,0.93mW,4074B,"""vadere_Sample__954_0""",true,65722447231342458,True,[0.095],[0.095],[0.095],[0.095]
955,0,38.0,1.07mW,2780B,"""vadere_Sample__955_0""",true,65722447231342458,True,[0.095],[0.095],[0.095],[0.095]
956,0,38.0,1.07mW,4074B,"""vadere_Sample__956_0""",true,65722447231342458,True,[0.095],[0.095],[0.095],[0.095]
957,0,200.0,1.07mW,2780B,"""vadere_Sample__957_0""",true,65722447231342458,True,[0.5],[0.5],[0.5],[0.5]
958,0,200.0,0.93mW,4074B,"""vadere_Sample__958_0""",true,65722447231342458,True,[0.5],[0.5],[0.5],[0.5]
959,0,200.0,1.07mW,4074B,"""vadere_Sample__959_0""",true,65722447231342458,True,[0.5],[0.5],[0.5],[0.5]
960,0,30.0,0.62mW,1296B,"""vadere_Sample__960_0""",true,65722447231342458,True,[0.075],[0.075],[0.075],[0.075]
961,0,90.0,0.62mW,1296B,"""vadere_Sample__961_0""",true,65722447231342458,True,[0.225],[0.225],[0.225],[0.225]
962,0,30.0,0.62mW,246B,"""vadere_Sample__962_0""",true,65722447231342458,True,[0.075],[0.075],[0.075],[0.075]
963,0,30.0,0.91mW,1296B,"""vadere_Sample__963_0""",true,65722447231342458,True,[0.075],[0.075],[0.075],[0.075]
964,0,30.0,0.91mW,246B,"""vadere_Sample__964_0""",true,65722447231342458,True,[0.075],[0.075],[0.075],[0.075]
965,0,90.0,0.91mW,1296B,"""vadere_Sample__965_0""",true,65722447231342458,True,[0.225],[0.225],[0.225],[0.225]
966,0,90.0,0.62mW,246B,"""vadere_Sample__966_0""",true,65722447231342458,True,[0.225],[0.225],[0.225],[0.225]
967,0,90.0,0.91mW,246B,"""vadere_Sample__967_0""",true,65722447231342458,True,[0.225],[0.225],[0.225],[0.225]
968,0,386.0,1.37mW,3796B,"""vadere_Sample__968_0""",true,65722447231342458,True,[0.965],[0.965],[0.965],[0.965]
969,0,517.0,1.37mW,3796B,"""vadere_Sample__969_0""",true,65722447231342458,True,[1.2925],[1.2925],[1.2925],[1.2925]
970,0,386.0,1.37mW,2746B,"""vadere_Sample__970_0""",true,65722447231342458,True,[0.965],[0.965],[0.965],[0.965]
971,0,386.0,1.66mW,3796B,"""vadere_Sample__971_0""",true,65722447231342458,True,[0.965],[0.965],[0.965],[0.965]
972,0,386.0,1.66mW,2746B,"""vadere_Sample__972_0""",true,65722447231342458,True,[0.965],[0.965],[0.965],[0.965]
973,0,517.0,1.66mW,3796B,"""vadere_Sample__973_0""",true,65722447231342458,True,[1.2925],[1.2925],[1.2925],[1.2925]
974,0,517.0,1.37mW,2746B,"""vadere_Sample__974_0""",true,65722447231342458,True,[1.2925],[1.2925],[1.2925],[1.2925]
975,0,517.0,1.66mW,2746B,"""vadere_Sample__975_0""",true,65722447231342458,True,[1.2925],[1.2925],[1.2925],[1.2925]
976,0,754.0,1.0mW,46B,"""vadere_Sample__976_0""",true,65722447231342458,True,[1.885],[1.885],[1.885],[1.885]
977,0,259.0,1.0mW,46B,"""vadere_Sample__977_0""",true,65722447231342458,True,[0.6475],[0.6475],[0.6475],[0.6475]
978,0,754.0,1.0mW,3996B,"""vadere_Sample__978_0""",true,65722447231342458,True,[1.885],[1.885],[1.885],[1.885]
979,0,754.0,1.29mW,46B,"""vadere_Sample__979_0""",true,65722447231342458,True,[1.885],[1.885],[1.885],[1.885]
980,0,754.0,1.29mW,3996B,"""vadere_Sample__980_0""",true,65722447231342458,True,[1.885],[1.885],[1.885],[1.885]
981,0,259.0,1.29mW,46B,"""vadere_Sample__981_0""",true,65722447231342458,True,[0.6475],[0.6475],[0.6475],[0.6475]
982,0,259.0,1.0mW,3996B,"""vadere_Sample__982_0""",true,65722447231342458,True,[0.6475],[0.6475],[0.6475],[0.6475]
983,0,259.0,1.29mW,3996B,"""vadere_Sample__983_0""",true,65722447231342458,True,[0.6475],[0.6475],[0.6475],[0.6475]
984,0,177.0,1.75mW,2546B,"""vadere_Sample__984_0""",true,65722447231342458,True,[0.4425],[0.4425],[0.4425],[0.4425]
985,0,1083.0,1.75mW,2546B,"""vadere_Sample__985_0""",true,65722447231342458,True,[2.7075],[2.7075],[2.7075],[2.7075]
986,0,177.0,1.75mW,1496B,"""vadere_Sample__986_0""",true,65722447231342458,True,[0.4425],[0.4425],[0.4425],[0.4425]
987,0,177.0,0.54mW,2546B,"""vadere_Sample__987_0""",true,65722447231342458,True,[0.4425],[0.4425],[0.4425],[0.4425]
988,0,177.0,0.54mW,1496B,"""vadere_Sample__988_0""",true,65722447231342458,True,[0.4425],[0.4425],[0.4425],[0.4425]
989,0,1083.0,0.54mW,2546B,"""vadere_Sample__989_0""",true,65722447231342458,True,[2.7075],[2.7075],[2.7075],[2.7075]
990,0,1083.0,1.75mW,1496B,"""vadere_Sample__990_0""",true,65722447231342458,True,[2.7075],[2.7075],[2.7075],[2.7075]
991,0,1083.0,0.54mW,1496B,"""vadere_Sample__991_0""",true,65722447231342458,True,[2.7075],[2.7075],[2.7075],[2.7075]
992,0,271.0,1.56mW,671B,"""vadere_Sample__992_0""",true,65722447231342458,True,[0.6775],[0.6775],[0.6775],[0.6775]
993,0,723.0,1.56mW,671B,"""vadere_Sample__993_0""",true,65722447231342458,True,[1.8075],[1.8075],[1.8075],[1.8075]
994,0,271.0,1.56mW,2121B,"""vadere_Sample__994_0""",true,65722447231342458,True,[0.6775],[0.6775],[0.6775],[0.6775]
995,0,271.0,1.1mW,671B,"""vadere_Sample__995_0""",true,65722447231342458,True,[0.6775],[0.6775],[0.6775],[0.6775]
996,0,271.0,1.1mW,2121B,"""vadere_Sample__996_0""",true,65722447231342458,True,[0.6775],[0.6775],[0.6775],[0.6775]
997,0,723.0,1.1mW,671B,"""vadere_Sample__997_0""",true,65722447231342458,True,[1.8075],[1.8075],[1.8075],[1.8075]
998,0,723.0,1.56mW,2121B,"""vadere_Sample__998_0""",true,65722447231342458,True,[1.8075],[1.8075],[1.8075],[1.8075]
999,0,723.0,1.1mW,2121B,"""vadere_Sample__999_0""",true,65722447231342458,True,[1.8075],[1.8075],[1.8075],[1.8075]
1000,0,1149.0,0.81mW,3171B,"""vadere_Sample__1000_0""",true,65722447231342458,True,[2.8725],[2.8725],[2.8725],[2.8725]
1001,0,167.0,0.81mW,3171B,"""vadere_Sample__1001_0""",true,65722447231342458,True,[0.4175],[0.4175],[0.4175],[0.4175]
1002,0,1149.0,0.81mW,4621B,"""vadere_Sample__1002_0""",true,65722447231342458,True,[2.8725],[2.8725],[2.8725],[2.8725]
1003,0,1149.0,1.85mW,3171B,"""vadere_Sample__1003_0""",true,65722447231342458,True,[2.8725],[2.8725],[2.8725],[2.8725]
1004,0,1149.0,1.85mW,4621B,"""vadere_Sample__1004_0""",true,65722447231342458,True,[2.8725],[2.8725],[2.8725],[2.8725]
1005,0,167.0,1.85mW,3171B,"""vadere_Sample__1005_0""",true,65722447231342458,True,[0.4175],[0.4175],[0.4175],[0.4175]
1006,0,167.0,0.81mW,4621B,"""vadere_Sample__1006_0""",true,65722447231342458,True,[0.4175],[0.4175],[0.4175],[0.4175]
1007,0,167.0,1.85mW,4621B,"""vadere_Sample__1007_0""",true,65722447231342458,True,[0.4175],[0.4175],[0.4175],[0.4175]
1008,0,537.0,1.93mW,1921B,"""vadere_Sample__1008_0""",true,65722447231342458,True,[1.3425],[1.3425],[1.3425],[1.3425]
1009,0,371.0,1.93mW,1921B,"""vadere_Sample__1009_0""",true,65722447231342458,True,[0.9275],[0.9275],[0.9275],[0.9275]
1010,0,537.0,1.93mW,3371B,"""vadere_Sample__1010_0""",true,65722447231342458,True,[1.3425],[1.3425],[1.3425],[1.3425]
1011,0,537.0,1.47mW,1921B,"""vadere_Sample__1011_0""",true,65722447231342458,True,[1.3425],[1.3425],[1.3425],[1.3425]
1012,0,537.0,1.47mW,3371B,"""vadere_Sample__1012_0""",true,65722447231342458,True,[1.3425],[1.3425],[1.3425],[1.3425]
1013,0,371.0,1.47mW,1921B,"""vadere_Sample__1013_0""",true,65722447231342458,True,[0.9275],[0.9275],[0.9275],[0.9275]
1014,0,371.0,1.93mW,3371B,"""vadere_Sample__1014_0""",true,65722447231342458,True,[0.9275],[0.9275],[0.9275],[0.9275]
1015,0,371.0,1.47mW,3371B,"""vadere_Sample__1015_0""",true,65722447231342458,True,[0.9275],[0.9275],[0.9275],[0.9275]
1016,0,98.0,1.18mW,4421B,"""vadere_Sample__1016_0""",true,65722447231342458,True,[0.245],[0.245],[0.245],[0.245]
1017,0,23.0,1.18mW,4421B,"""vadere_Sample__1017_0""",true,65722447231342458,True,[0.0575],[0.0575],[0.0575],[0.0575]
1018,0,98.0,1.18mW,871B,"""vadere_Sample__1018_0""",true,65722447231342458,True,[0.245],[0.245],[0.245],[0.245]
1019,0,98.0,0.72mW,4421B,"""vadere_Sample__1019_0""",true,65722447231342458,True,[0.245],[0.245],[0.245],[0.245]
1020,0,98.0,0.72mW,871B,"""vadere_Sample__1020_0""",true,65722447231342458,True,[0.245],[0.245],[0.245],[0.245]
1021,0,23.0,0.72mW,4421B,"""vadere_Sample__1021_0""",true,65722447231342458,True,[0.0575],[0.0575],[0.0575],[0.0575]
1022,0,23.0,1.18mW,871B,"""vadere_Sample__1022_0""",true,65722447231342458,True,[0.0575],[0.0575],[0.0575],[0.0575]
1023,0,23.0,0.72mW,871B,"""vadere_Sample__1023_0""",true,65722447231342458,True,[0.0575],[0.0575],[0.0575],[0.0575]
1024,0,136.0,1.84mW,358B,"""vadere_Sample__1024_0""",true,65722447231342458,True,[0.34],[0.34],[0.34],[0.34]
1025,0,211.0,1.84mW,358B,"""vadere_Sample__1025_0""",true,65722447231342458,True,[0.5275],[0.5275],[0.5275],[0.5275]
1026,0,136.0,1.84mW,3059B,"""vadere_Sample__1026_0""",true,65722447231342458,True,[0.34],[0.34],[0.34],[0.34]
1027,0,136.0,0.63mW,358B,"""vadere_Sample__1027_0""",true,65722447231342458,True,[0.34],[0.34],[0.34],[0.34]
1028,0,136.0,0.63mW,3059B,"""vadere_Sample__1028_0""",true,65722447231342458,True,[0.34],[0.34],[0.34],[0.34]
1029,0,211.0,0.63mW,358B,"""vadere_Sample__1029_0""",true,65722447231342458,True,[0.5275],[0.5275],[0.5275],[0.5275]
1030,0,211.0,1.84mW,3059B,"""vadere_Sample__1030_0""",true,65722447231342458,True,[0.5275],[0.5275],[0.5275],[0.5275]
1031,0,211.0,0.63mW,3059B,"""vadere_Sample__1031_0""",true,65722447231342458,True,[0.5275],[0.5275],[0.5275],[0.5275]
1032,0,634.0,1.09mW,2858B,"""vadere_Sample__1032_0""",true,65722447231342458,True,[1.585],[1.585],[1.585],[1.585]
1033,0,872.0,1.09mW,2858B,"""vadere_Sample__1033_0""",true,65722447231342458,True,[2.18],[2.18],[2.18],[2.18]
1034,0,634.0,1.09mW,559B,"""vadere_Sample__1034_0""",true,65722447231342458,True,[1.585],[1.585],[1.585],[1.585]
1035,0,634.0,1.38mW,2858B,"""vadere_Sample__1035_0""",true,65722447231342458,True,[1.585],[1.585],[1.585],[1.585]
1036,0,634.0,1.38mW,559B,"""vadere_Sample__1036_0""",true,65722447231342458,True,[1.585],[1.585],[1.585],[1.585]
1037,0,872.0,1.38mW,2858B,"""vadere_Sample__1037_0""",true,65722447231342458,True,[2.18],[2.18],[2.18],[2.18]
1038,0,872.0,1.09mW,559B,"""vadere_Sample__1038_0""",true,65722447231342458,True,[2.18],[2.18],[2.18],[2.18]
1039,0,872.0,1.38mW,559B,"""vadere_Sample__1039_0""",true,65722447231342458,True,[2.18],[2.18],[2.18],[2.18]
1040,0,1613.0,1.46mW,1608B,"""vadere_Sample__1040_0""",true,65722447231342458,True,[4.0325],[4.0325],[4.0325],[4.0325]
1041,0,55.0,1.46mW,1608B,"""vadere_Sample__1041_0""",true,65722447231342458,True,[0.1375],[0.1375],[0.1375],[0.1375]
1042,0,1613.0,1.46mW,1809B,"""vadere_Sample__1042_0""",true,65722447231342458,True,[4.0325],[4.0325],[4.0325],[4.0325]
1043,0,1613.0,1.75mW,1608B,"""vadere_Sample__1043_0""",true,65722447231342458,True,[4.0325],[4.0325],[4.0325],[4.0325]
1044,0,1613.0,1.75mW,1809B,"""vadere_Sample__1044_0""",true,65722447231342458,True,[4.0325],[4.0325],[4.0325],[4.0325]
1045,0,55.0,1.75mW,1608B,"""vadere_Sample__1045_0""",true,65722447231342458,True,[0.1375],[0.1375],[0.1375],[0.1375]
1046,0,55.0,1.46mW,1809B,"""vadere_Sample__1046_0""",true,65722447231342458,True,[0.1375],[0.1375],[0.1375],[0.1375]
1047,0,55.0,1.75mW,1809B,"""vadere_Sample__1047_0""",true,65722447231342458,True,[0.1375],[0.1375],[0.1375],[0.1375]
1048,0,325.0,0.71mW,4108B,"""vadere_Sample__1048_0""",true,65722447231342458,True,[0.8125],[0.8125],[0.8125],[0.8125]
1049,0,439.0,0.71mW,4108B,"""vadere_Sample__1049_0""",true,65722447231342458,True,[1.0975],[1.0975],[1.0975],[1.0975]
1050,0,325.0,0.71mW,4309B,"""vadere_Sample__1050_0""",true,65722447231342458,True,[0.8125],[0.8125],[0.8125],[0.8125]
1051,0,325.0,1.0mW,4108B,"""vadere_Sample__1051_0""",true,65722447231342458,True,[0.8125],[0.8125],[0.8125],[0.8125]
1052,0,325.0,1.0mW,4309B,"""vadere_Sample__1052_0""",true,65722447231342458,True,[0.8125],[0.8125],[0.8125],[0.8125]
1053,0,439.0,1.0mW,4108B,"""vadere_Sample__1053_0""",true,65722447231342458,True,[1.0975],[1.0975],[1.0975],[1.0975]
1054,0,439.0,0.71mW,4309B,"""vadere_Sample__1054_0""",true,65722447231342458,True,[1.0975],[1.0975],[1.0975],[1.0975]
1055,0,439.0,1.0mW,4309B,"""vadere_Sample__1055_0""",true,65722447231342458,True,[1.0975],[1.0975],[1.0975],[1.0975]
1056,0,222.0,0.9mW,2233B,"""vadere_Sample__1056_0""",true,65722447231342458,True,[0.555],[0.555],[0.555],[0.555]
1057,0,609.0,0.9mW,2233B,"""vadere_Sample__1057_0""",true,65722447231342458,True,[1.5225],[1.5225],[1.5225],[1.5225]
1058,0,222.0,0.9mW,4934B,"""vadere_Sample__1058_0""",true,65722447231342458,True,[0.555],[0.555],[0.555],[0.555]
1059,0,222.0,0.82mW,2233B,"""vadere_Sample__1059_0""",true,65722447231342458,True,[0.555],[0.555],[0.555],[0.555]
1060,0,222.0,0.82mW,4934B,"""vadere_Sample__1060_0""",true,65722447231342458,True,[0.555],[0.555],[0.555],[0.555]
1061,0,609.0,0.82mW,2233B,"""vadere_Sample__1061_0""",true,65722447231342458,True,[1.5225],[1.5225],[1.5225],[1.5225]
1062,0,609.0,0.9mW,4934B,"""vadere_Sample__1062_0""",true,65722447231342458,True,[1.5225],[1.5225],[1.5225],[1.5225]
1063,0,609.0,0.82mW,4934B,"""vadere_Sample__1063_0""",true,65722447231342458,True,[1.5225],[1.5225],[1.5225],[1.5225]
1064,0,914.0,1.65mW,4733B,"""vadere_Sample__1064_0""",true,65722447231342458,True,[2.285],[2.285],[2.285],[2.285]
1065,0,127.0,1.65mW,4733B,"""vadere_Sample__1065_0""",true,65722447231342458,True,[0.3175],[0.3175],[0.3175],[0.3175]
1066,0,914.0,1.65mW,2434B,"""vadere_Sample__1066_0""",true,65722447231342458,True,[2.285],[2.285],[2.285],[2.285]
1067,0,914.0,1.57mW,4733B,"""vadere_Sample__1067_0""",true,65722447231342458,True,[2.285],[2.285],[2.285],[2.285]
1068,0,914.0,1.57mW,2434B,"""vadere_Sample__1068_0""",true,65722447231342458,True,[2.285],[2.285],[2.285],[2.285]
1069,0,127.0,1.57mW,4733B,"""vadere_Sample__1069_0""",true,65722447231342458,True,[0.3175],[0.3175],[0.3175],[0.3175]
1070,0,127.0,1.65mW,2434B,"""vadere_Sample__1070_0""",true,65722447231342458,True,[0.3175],[0.3175],[0.3175],[0.3175]
1071,0,127.0,1.57mW,2434B,"""vadere_Sample__1071_0""",true,65722447231342458,True,[0.3175],[0.3175],[0.3175],[0.3175]
1072,0,456.0,0.53mW,983B,"""vadere_Sample__1072_0""",true,65722447231342458,True,[1.1400000000000001],[1.1400000000000001],[1.1400000000000001],[1.1400000000000001]
1073,0,1460.0,0.53mW,983B,"""vadere_Sample__1073_0""",true,65722447231342458,True,[3.65],[3.65],[3.65],[3.65]
1074,0,456.0,0.53mW,1184B,"""vadere_Sample__1074_0""",true,65722447231342458,True,[1.1400000000000001],[1.1400000000000001],[1.1400000000000001],[1.1400000000000001]
1075,0,456.0,1.94mW,983B,"""vadere_Sample__1075_0""",true,65722447231342458,True,[1.1400000000000001],[1.1400000000000001],[1.1400000000000001],[1.1400000000000001]
1076,0,456.0,1.94mW,1184B,"""vadere_Sample__1076_0""",true,65722447231342458,True,[1.1400000000000001],[1.1400000000000001],[1.1400000000000001],[1.1400000000000001]
1077,0,1460.0,1.94mW,983B,"""vadere_Sample__1077_0""",true,65722447231342458,True,[3.65],[3.65],[3.65],[3.65]
1078,0,1460.0,0.53mW,1184B,"""vadere_Sample__1078_0""",true,65722447231342458,True,[3.65],[3.65],[3.65],[3.65]
1079,0,1460.0,1.94mW,1184B,"""vadere_Sample__1079_0""",true,65722447231342458,True,[3.65],[3.65],[3.65],[3.65]
1080,0,63.0,1.28mW,3483B,"""vadere_Sample__1080_0""",true,65722447231342458,True,[0.1575],[0.1575],[0.1575],[0.1575]
1081,0,312.0,1.28mW,3483B,"""vadere_Sample__1081_0""",true,65722447231342458,True,[0.78],[0.78],[0.78],[0.78]
1082,0,63.0,1.28mW,3684B,"""vadere_Sample__1082_0""",true,65722447231342458,True,[0.1575],[0.1575],[0.1575],[0.1575]
1083,0,63.0,1.19mW,3483B,"""vadere_Sample__1083_0""",true,65722447231342458,True,[0.1575],[0.1575],[0.1575],[0.1575]
1084,0,63.0,1.19mW,3684B,"""vadere_Sample__1084_0""",true,65722447231342458,True,[0.1575],[0.1575],[0.1575],[0.1575]
1085,0,312.0,1.19mW,3483B,"""vadere_Sample__1085_0""",true,65722447231342458,True,[0.78],[0.78],[0.78],[0.78]
1086,0,312.0,1.28mW,3684B,"""vadere_Sample__1086_0""",true,65722447231342458,True,[0.78],[0.78],[0.78],[0.78]
1087,0,312.0,1.19mW,3684B,"""vadere_Sample__1087_0""",true,65722447231342458,True,[0.78],[0.78],[0.78],[0.78]
1088,0,46.0,1.14mW,1140B,"""vadere_Sample__1088_0""",true,65722447231342458,True,[0.115],[0.115],[0.115],[0.115]
1089,0,404.0,1.14mW,1140B,"""vadere_Sample__1089_0""",true,65722447231342458,True,[1.01],[1.01],[1.01],[1.01]
1090,0,46.0,1.14mW,1340B,"""vadere_Sample__1090_0""",true,65722447231342458,True,[0.115],[0.115],[0.115],[0.115]
1091,0,46.0,1.61mW,1140B,"""vadere_Sample__1091_0""",true,65722447231342458,True,[0.115],[0.115],[0.115],[0.115]
1092,0,46.0,1.61mW,1340B,"""vadere_Sample__1092_0""",true,65722447231342458,True,[0.115],[0.115],[0.115],[0.115]
1093,0,404.0,1.61mW,1140B,"""vadere_Sample__1093_0""",true,65722447231342458,True,[1.01],[1.01],[1.01],[1.01]
1094,0,404.0,1.14mW,1340B,"""vadere_Sample__1094_0""",true,65722447231342458,True,[1.01],[1.01],[1.01],[1.01]
1095,0,404.0,1.61mW,1340B,"""vadere_Sample__1095_0""",true,65722447231342458,True,[1.01],[1.01],[1.01],[1.01]
1096,0,420.0,1.89mW,3640B,"""vadere_Sample__1096_0""",true,65722447231342458,True,[1.05],[1.05],[1.05],[1.05]
1097,0,39.0,1.89mW,3640B,"""vadere_Sample__1097_0""",true,65722447231342458,True,[0.0975],[0.0975],[0.0975],[0.0975]
1098,0,420.0,1.89mW,3840B,"""vadere_Sample__1098_0""",true,65722447231342458,True,[1.05],[1.05],[1.05],[1.05]
1099,0,420.0,0.86mW,3640B,"""vadere_Sample__1099_0""",true,65722447231342458,True,[1.05],[1.05],[1.05],[1.05]
1100,0,420.0,0.86mW,3840B,"""vadere_Sample__1100_0""",true,65722447231342458,True,[1.05],[1.05],[1.05],[1.05]
1101,0,39.0,0.86mW,3640B,"""vadere_Sample__1101_0""",true,65722447231342458,True,[0.0975],[0.0975],[0.0975],[0.0975]
1102,0,39.0,1.89mW,3840B,"""vadere_Sample__1102_0""",true,65722447231342458,True,[0.0975],[0.0975],[0.0975],[0.0975]
1103,0,39.0,0.86mW,3840B,"""vadere_Sample__1103_0""",true,65722447231342458,True,[0.0975],[0.0975],[0.0975],[0.0975]
1104,0,828.0,0.76mW,2390B,"""vadere_Sample__1104_0""",true,65722447231342458,True,[2.07],[2.07],[2.07],[2.07]
1105,0,792.0,0.76mW,2390B,"""vadere_Sample__1105_0""",true,65722447231342458,True,[1.98],[1.98],[1.98],[1.98]
1106,0,828.0,0.76mW,2590B,"""vadere_Sample__1106_0""",true,65722447231342458,True,[2.07],[2.07],[2.07],[2.07]
1107,0,828.0,1.24mW,2390B,"""vadere_Sample__1107_0""",true,65722447231342458,True,[2.07],[2.07],[2.07],[2.07]
1108,0,828.0,1.24mW,2590B,"""vadere_Sample__1108_0""",true,65722447231342458,True,[2.07],[2.07],[2.07],[2.07]
1109,0,792.0,1.24mW,2390B,"""vadere_Sample__1109_0""",true,65722447231342458,True,[1.98],[1.98],[1.98],[1.98]
1110,0,792.0,0.76mW,2590B,"""vadere_Sample__1110_0""",true,65722447231342458,True,[1.98],[1.98],[1.98],[1.98]
1111,0,792.0,1.24mW,2590B,"""vadere_Sample__1111_0""",true,65722447231342458,True,[1.98],[1.98],[1.98],[1.98]
1112,0,199.0,1.51mW,4890B,"""vadere_Sample__1112_0""",true,65722447231342458,True,[0.4975],[0.4975],[0.4975],[0.4975]
1113,0,189.0,1.51mW,4890B,"""vadere_Sample__1113_0""",true,65722447231342458,True,[0.47250000000000003],[0.47250000000000003],[0.47250000000000003],[0.47250000000000003]
1114,0,199.0,1.51mW,90B,"""vadere_Sample__1114_0""",true,65722447231342458,True,[0.4975],[0.4975],[0.4975],[0.4975]
1115,0,199.0,1.99mW,4890B,"""vadere_Sample__1115_0""",true,65722447231342458,True,[0.4975],[0.4975],[0.4975],[0.4975]
1116,0,199.0,1.99mW,90B,"""vadere_Sample__1116_0""",true,65722447231342458,True,[0.4975],[0.4975],[0.4975],[0.4975]
1117,0,189.0,1.99mW,4890B,"""vadere_Sample__1117_0""",true,65722447231342458,True,[0.47250000000000003],[0.47250000000000003],[0.47250000000000003],[0.47250000000000003]
1118,0,189.0,1.51mW,90B,"""vadere_Sample__1118_0""",true,65722447231342458,True,[0.47250000000000003],[0.47250000000000003],[0.47250000000000003],[0.47250000000000003]
1119,0,189.0,1.99mW,90B,"""vadere_Sample__1119_0""",true,65722447231342458,True,[0.47250000000000003],[0.47250000000000003],[0.47250000000000003],[0.47250000000000003]
1120,0,297.0,1.7mW,1765B,"""vadere_Sample__1120_0""",true,65722447231342458,True,[0.7425],[0.7425],[0.7425],[0.7425]
1121,0,285.0,1.7mW,1765B,"""vadere_Sample__1121_0""",true,65722447231342458,True,[0.7125],[0.7125],[0.7125],[0.7125]
1122,0,297.0,1.7mW,715B,"""vadere_Sample__1122_0""",true,65722447231342458,True,[0.7425],[0.7425],[0.7425],[0.7425]
1123,0,297.0,1.43mW,1765B,"""vadere_Sample__1123_0""",true,65722447231342458,True,[0.7425],[0.7425],[0.7425],[0.7425]
1124,0,297.0,1.43mW,715B,"""vadere_Sample__1124_0""",true,65722447231342458,True,[0.7425],[0.7425],[0.7425],[0.7425]
1125,0,285.0,1.43mW,1765B,"""vadere_Sample__1125_0""",true,65722447231342458,True,[0.7125],[0.7125],[0.7125],[0.7125]
1126,0,285.0,1.7mW,715B,"""vadere_Sample__1126_0""",true,65722447231342458,True,[0.7125],[0.7125],[0.7125],[0.7125]
1127,0,285.0,1.43mW,715B,"""vadere_Sample__1127_0""",true,65722447231342458,True,[0.7125],[0.7125],[0.7125],[0.7125]
1128,0,1329.0,0.95mW,4265B,"""vadere_Sample__1128_0""",true,65722447231342458,True,[3.3225000000000002],[3.3225000000000002],[3.3225000000000002],[3.3225000000000002]
1129,0,1237.0,0.95mW,4265B,"""vadere_Sample__1129_0""",true,65722447231342458,True,[3.0925000000000002],[3.0925000000000002],[3.0925000000000002],[3.0925000000000002]
1130,0,1329.0,0.95mW,3215B,"""vadere_Sample__1130_0""",true,65722447231342458,True,[3.3225000000000002],[3.3225000000000002],[3.3225000000000002],[3.3225000000000002]
