id run_id numberOfAgents Power Traffic Real Kriging
95 0 601.0 0.5 3496.0 4.8 4.727470175516552
96 0 290.0 1.51 1261.0 4.8 5.827076534945228
97 0 433.0 1.51 1261.0 4.8 4.967123924261911
98 0 290.0 1.51 3996.0 14.8 7.311576898344028
99 0 290.0 1.06 1261.0 8.8 5.82745112088981
100 0 290.0 1.06 3996.0 6.8 7.310962089697026
101 0 433.0 1.06 1261.0 3.6 4.966969308236944
102 0 433.0 1.51 3996.0 5.6 5.642518681030802
103 0 433.0 1.06 3996.0 5.6 5.642566741946711
104 0 1275.0 0.76 3261.0 3.6 4.022751285494453
105 0 52.0 0.76 3261.0 12.4 11.964793049277008
106 0 1275.0 0.76 1996.0 2.8 4.015680067970499
107 0 1275.0 1.81 3261.0 3.6 4.022747313123092
108 0 1275.0 1.81 1996.0 3.6 4.015930922372355
