id run_id numberOfAgents Power Traffic timeToInform
76 0 411.0 1.63 496.0 4.8
77 0 1414.0 1.63 2761.0 4.8
78 0 1414.0 1.32 496.0 3.6
79 0 1414.0 1.63 496.0 4.8
80 0 807.0 0.95 1761.0 4.8
81 0 124.0 0.95 1761.0 13.6
82 0 807.0 0.95 1496.0 3.6
83 0 807.0 1.25 1761.0 3.6
84 0 807.0 1.25 1496.0 3.6
85 0 124.0 1.25 1761.0 7.6
86 0 124.0 0.95 1496.0 4.8
87 0 124.0 1.25 1496.0 6.0
88 0 193.0 1.7 3761.0 4.8
89 0 601.0 1.7 3761.0 4.8
90 0 193.0 1.7 3496.0 18.8
91 0 193.0 0.5 3761.0 27.6
92 0 193.0 0.5 3496.0 13.2
93 0 601.0 0.5 3761.0 4.8
94 0 601.0 1.7 3496.0 5.6
95 0 601.0 0.5 3496.0 4.8
96 0 290.0 1.51 1261.0 4.8
97 0 433.0 1.51 1261.0 4.8
98 0 290.0 1.51 3996.0 14.8
99 0 290.0 1.06 1261.0 8.8
100 0 290.0 1.06 3996.0 6.8
101 0 433.0 1.06 1261.0 3.6
102 0 433.0 1.51 3996.0 5.6
103 0 433.0 1.06 3996.0 5.6
104 0 1275.0 0.76 3261.0 3.6
105 0 52.0 0.76 3261.0 12.4
106 0 1275.0 0.76 1996.0 2.8
107 0 1275.0 1.81 3261.0 3.6
108 0 1275.0 1.81 1996.0 3.6
109 0 52.0 1.81 3261.0 12.8
110 0 52.0 0.76 1996.0 4.8
111 0 52.0 1.81 1996.0 4.0
112 0 570.0 1.89 261.0 3.6
113 0 857.0 1.89 261.0 3.6
114 0 570.0 1.89 996.0 4.8
115 0 570.0 1.44 261.0 3.6
116 0 570.0 1.44 996.0 3.6
117 0 857.0 1.44 261.0 3.6
118 0 857.0 1.89 996.0 2.8
119 0 857.0 1.44 996.0 3.6
120 0 112.0 1.14 2261.0 10.8
121 0 207.0 1.14 2261.0 24.4
122 0 112.0 1.14 2996.0 17.2
123 0 112.0 0.69 2261.0 6.4
124 0 112.0 0.69 2996.0 7.6
125 0 207.0 0.69 2261.0 5.6
126 0 207.0 1.14 2996.0 6.8
127 0 207.0 0.69 2996.0 6.8
128 0 76.0 1.98 1511.0 7.2
129 0 20.0 1.98 1511.0 9.6
130 0 76.0 1.98 246.0 7.6
131 0 76.0 0.6 1511.0 7.6
132 0 76.0 0.6 246.0 7.6
133 0 20.0 0.6 1511.0 9.6
134 0 20.0 1.98 246.0 9.6
135 0 20.0 0.6 246.0 9.6
136 0 484.0 1.23 3511.0 4.8
137 0 366.0 1.23 3511.0 6.8
138 0 484.0 1.23 2246.0 4.8
139 0 484.0 1.35 3511.0 5.6
140 0 484.0 1.35 2246.0 4.8
141 0 366.0 1.35 3511.0 6.8
142 0 366.0 1.23 2246.0 8.8
143 0 366.0 1.35 2246.0 4.8
144 0 988.0 1.61 511.0 2.8
145 0 164.0 1.61 511.0 6.8
146 0 988.0 1.61 3246.0 4.8
147 0 988.0 1.72 511.0 3.6
148 0 988.0 1.72 3246.0 4.8
149 0 164.0 1.72 511.0 6.8
150 0 164.0 1.61 3246.0 7.6
151 0 164.0 1.72 3246.0 6.8
152 0 239.0 0.86 2511.0 5.6
153 0 713.0 0.86 2511.0 4.8
154 0 239.0 0.86 1246.0 4.8
155 0 239.0 0.97 2511.0 5.6
156 0 239.0 0.97 1246.0 8.8
157 0 713.0 0.97 2511.0 4.8
158 0 713.0 0.86 1246.0 4.8
159 0 713.0 0.97 1246.0 6.8
160 0 151.0 1.04 11.0 5.2
161 0 1061.0 1.04 11.0 4.0
162 0 151.0 1.04 1746.0 10.4
163 0 151.0 0.78 11.0 5.2
164 0 151.0 0.78 1746.0 7.6
165 0 1061.0 0.78 11.0 4.8
166 0 1061.0 1.04 1746.0 4.8
167 0 1061.0 0.78 1746.0 3.6
168 0 675.0 1.79 2011.0 5.6
